Name,Company,Location,Technologies,Salary Low,Salary High,Currency
 Senior Data Scientist ,Devire,Łódź,Data  Python  SQL  DAX,25200,29400,PLN
 IT Project Manager ,Falck Digital Technology Poland Sp. z o.o.,Warsaw,Project Manager  AI  ERP  CRM,22000,24000,PLN
 Data Platform Engineer/Consultant - Team Leader ,Elitmind,Remote,Data  SQL  SQL Server  SSIS,17976,24024,PLN
 Specjalista ds. Danych i Systemów Ryzyka  ,Nest Bank,Warszawa,Data  Python  SQL  Power BI,,,
 Junior Data Engineer / Python Developer ,Alterdata.io sp. z o.o.,Remote,Data  Python  SQL  Problem solving,7000,11000,PLN
 	 Software Engineer (Machine Learning MLOps) ,Tesco Technology,Kraków,Data  Python  Machine learning  Splunk,20000,27000,PLN
 Automation QA Engineer (Magento Testing Framework) ,QATestLab,Remote,Testing  Magento  Java  PHP,,,
 Database Reliability Engineer ,monday.com,Warsaw,Data  SQL  RDBMS  MySQL,57000,64000,PLN
 Junior Analityk Danych / Analityczka Danych ,Alterdata.io sp. z o.o.,Remote,Data  SQL  Azure  GCP,7000,11000,PLN
 Senior Data Modeller ,Devire,Gdańsk,Data  SQL  Data modelling  Data structures,25200,29400,PLN
 Opera Cloud Consultant / Leader ,Link Group,Gdynia,Project Manager  Opera Cloud  Opera V5  Project management,12000,15000,PLN
 Specjalista ds. Danych i Raportów Ryzyka  ,Nest Bank,Warszawa,Data  SQL  Python  Azure Databricks,,,
 Senior Cloud Data Engineer ,Devire,Remote,Data  SQL  Cloud  Git,20160,26880,PLN
 Data Engineer ,Numlabs - Data Science Services,Remote,Data  Python  Degree  Cloud computing,16800,25200,PLN
 Software Development Manager - Machine Learning ,Tesco Technology,Kraków,Data  Python  MLOps  Team management,28000,40000,PLN
 QA Automation Tech Lead ,Mend.io,Remote,Testing  Python  Degree  API,6500,7500,USD
 Senior Data Engineer - Remote ,Link Group,Remote,Data  Azure  Python  SQL,20000,28000,PLN
 Data Warehouse Engineer ,HSBC Technology Poland,Kraków,Data  Trino  Dremio  Data Lake,23000,30000,PLN
 Senior Data Engineer z j. niemieckim  ,dmTECH,Remote,Data  Big data  Spark  Hive,15120,28896,PLN
