Name;Company;Location;Technologies;Salary Low;Salary High;Currency;Salary_avg;Country;Senior;Pozice
 data scientist (nlp and computer vision) ;Brainly Sp. z o.o.;remote;AI  Python  NLP  Deep learning;17500.0;30000.0;PLN;23750.0;N/A;0;scientist
 lead data scientist / ml engineer ;Addepto;remote;AI  Python  ML  Data science;19320.0;28560.0;PLN;23940.0;N/A;0;engineer
 senior technical project manager ;RTB House;remote;Project Manager  Data scientist  Project management;27000.0;35000.0;PLN;31000.0;N/A;1;0
 ml ops engineer ;HARMAN Connected Services;remote;AI  Python  Data science  Machine learning;17300.0;24700.0;PLN;21000.0;N/A;0;engineer
 senior dev in machine learning - z j. niemieckim ;dmTECH;remote;Data  GCP  CI  Clean Code;15120.0;28896.0;PLN;22008.0;N/A;1;0
 data engineer with cloud ;GFT Poland;poznań;Data  Python  Dataproc for Spark  Dataflow for Apache Beam;19320.0;26376.0;PLN;22848.0;PL;0;engineer
 senior big data developer (java/scala) ;Jit Team;gdynia;Data  Scala  Java  Spark;19000.0;27300.0;PLN;23150.0;PL;1;0
 ml engineer (nlp and llms) ;Brainly Sp. z o.o.;remote;AI  Python  NLP  Deep learning;17500.0;26000.0;PLN;21750.0;N/A;0;engineer
 senior ml engineer (nlp and llms) ;Brainly Sp. z o.o.;remote;AI  Python  NLP  Deep learning;26000.0;35000.0;PLN;30500.0;N/A;1;engineer
 senior data engineer etl + python ;1dea;remote;Data  Python  ETL  Cloud;27720.0;31080.0;PLN;29400.0;N/A;1;engineer
 senior data solution architect/ data architect ;Altimetrik Poland;remote;Data  Python  ETL  Azure;27000.0;37000.0;PLN;32000.0;N/A;1;0
 ai/ml engineer ;Engenious;remote;AI  Python  AI  Computer vision;26880.0;33600.0;PLN;30240.0;N/A;0;engineer
 junior ml/nlp engineer ;Ink Solutions sp. z o.o;warsaw;AI  Machine learning  Algorithms  NLP;4500.0;4500.0;PLN;4500.0;PL;0;engineer
 software engineer ;HUAWEI;warsaw;AI  Python  Algorithms  Data structures;20000.0;29000.0;PLN;24500.0;PL;0;engineer
 mid data & ai engineer fully remote ;Nest Bank;remote;Data  Python  Big data  AI;15000.0;22000.0;PLN;18500.0;N/A;0;engineer
 senior data architect – supply chain analytics  ;Digital Hub Warsaw at Bayer;warsaw;Data  Python  Degree  Data engineering;20000.0;28500.0;PLN;24250.0;PL;1;0
 senior technical project manager ;Crestt;remote;Project Manager  Switches  LAN  WAN;18480.0;23520.0;PLN;21000.0;N/A;1;0
 senior data engineer - remote ;Link Group;remote;Data  Python  ELT  ETL;23520.0;26880.0;PLN;25200.0;N/A;1;engineer
 senior nlp engineer ;Sigmoidal;remote;AI  Python  NLP  Machine learning;31000.0;37000.0;PLN;34000.0;N/A;1;engineer
 nlp/ai engineer ;VML Enterprise Solutions;remote;AI  Python  AI  Communication skills;13000.0;17000.0;PLN;15000.0;N/A;0;engineer
 professional data engineer ;AVENGA;remote;Data  Python  GCP  AWS;21000.0;23520.0;PLN;22260.0;N/A;0;engineer
 data warehouse engineer ;HSBC Technology Poland;kraków;Data  Trino  Dremio  Data Lake;23000.0;30000.0;PLN;26500.0;PL;0;engineer
 lead data architect ;Digital Hub Warsaw at Bayer;warsaw;Data  SQL  Degree  Market analytics;24000.0;34000.0;PLN;29000.0;PL;0;0
 gen ai tech lead ;Link Group;gdynia;AI  Python  RAG Pipeline  AWS;27000.0;32000.0;PLN;29500.0;PL;0;0
 lead data engineer ;Sunscrapers;remote;Data  Python  SQL  Data warehouses;30000.0;40000.0;PLN;35000.0;N/A;0;engineer
 machine learning engineer ;Tooploox;remote;AI  Python  Machine learning  Computer vision;13000.0;18000.0;PLN;15500.0;N/A;0;engineer
    senior machine learning engineer - remote ;DCG Sp. z o.o.;remote;AI  Degree  Machine learning  Python;26880.0;33600.0;PLN;30240.0;N/A;1;engineer
 azure data engineer - remote ;Link Group;remote;Data  Azure  CI  Data Lake;18500.0;24500.0;PLN;21500.0;N/A;0;engineer
 senior technical project manager ;Tangent;poznań;Project Manager  Project management  Jira  Confluence;18000.0;26000.0;PLN;22000.0;PL;1;0
 senior data engineer (finance team) ;Falck Digital Technology Poland Sp. z o.o.;warsaw;Data  SQL  Azure  Python;20000.0;25000.0;PLN;22500.0;PL;1;engineer
 senior machine learning engineer  ;MANGOPAY;remote;AI  Python  MLOps  Data engineering;20000.0;31250.0;PLN;25625.0;N/A;1;engineer
 mlops engineer ;Harvey Nash Technology;remote;AI  Python  AWS  REST;17000.0;33000.0;PLN;25000.0;N/A;0;engineer
 senior data engineer gcp - remote  ;Link Group;remote;Data  SQL  GCP  BigQuery;21840.0;30240.0;PLN;26040.0;N/A;1;engineer
 remote data engineer  ;Kingfisher plc.;remote;Data  Python  AWS  Data modelling;15000.0;19000.0;PLN;17000.0;N/A;0;engineer
 senior data engineer / data architect - remote ;Link Group;remote;Data  Python  Big data  Hadoop;28560.0;33600.0;PLN;31080.0;N/A;1;engineer
 azure cloud engineer - azure ai services (pharma) ;7N Sp. z o.o.;remote;AI  Azure  Azure Cloud  Azure AI services;24360.0;26880.0;PLN;25620.0;N/A;0;engineer
 senior data engineer ;Craft.co;remote;Data  Python  Data engineering  SQL;28000.0;34000.0;PLN;31000.0;N/A;1;engineer
 mid-senior machine learning engineer ;Harvey Nash Technology;kraków;AI  Python  OOP  Data structures;17000.0;23000.0;PLN;20000.0;PL;1;engineer
 machine learning engineer ;AVENGA;remote;AI  Machine learning  SQL  T-SQL;23520.0;25200.0;PLN;24360.0;N/A;0;engineer
 senior data engineer - remote ;Link Group;remote;Data  Azure  Python  SQL;20000.0;28000.0;PLN;24000.0;N/A;1;engineer
 technical project manager ;Devire;tczew;Project Manager  Communication skills  Project management  Polish;17000.0;20000.0;PLN;18500.0;PL;0;0
 data engineer in microsoft azure cloud ;Avanade Poland;remote;Data  Python  Azure  SQL;19320.0;29400.0;PLN;24360.0;N/A;0;engineer
 machine learning engineer ;Numlabs - Data Science Services;remote;AI  Python  Degree  Cloud computing;20160.0;26880.0;PLN;23520.0;N/A;0;engineer
 data engineer ;Tooploox;remote;Data  SQL  Snowflake  BigQuery;15000.0;18000.0;PLN;16500.0;N/A;0;engineer
 senior data engineer - remote  ;Link Group;remote;Data  SQL  dbt  Databricks;23000.0;25200.0;PLN;24100.0;N/A;1;engineer
 senior ai engineer ;Sigma IT Poland;remote;AI  AI  Machine learning  Python;23520.0;26880.0;PLN;25200.0;N/A;1;engineer
 principal data engineer  ;Digital Hub Warsaw at Bayer;warsaw;Data  Golang  Kafka  REST API;32000.0;42000.0;PLN;37000.0;PL;0;engineer
